Match_No,Innings,match_date,Versus,mode_of_dismissal,Runs,Balls_faced
279,271,2001-10-24 00:00:00,Kenya,c M O Odumbe b T Odoyo,146,132
280,272,2001-10-26 00:00:00,South Africa,b M Hayward,17,42
281,273,2002-01-19 00:00:00,England,b A Flintoff,36,43
282,274,2002-01-22 00:00:00,England,run out,45,60
283,275,2002-01-25 00:00:00,England,lbw b J N Snape,68,79
284,276,2002-01-28 00:00:00,England,not out,87,67
285,277,2002-01-31 00:00:00,England,c †J S Foster b A R Caddick,18,16
286,278,2002-02-03 00:00:00,England,c †J S Foster b D Gough,12,18
287,279,2002-05-29 00:00:00,West Indies,not out,34,45
288,280,2002-06-02 00:00:00,West Indies,b M V Dillon,65,70
289,281,2002-06-29 00:00:00,England,lbw b R C Irani,1,9
290,282,2002-06-30 00:00:00,Sri Lanka,c †R S Kaluwitharana b D N T Zoysa,49,70
291,283,2002-07-04 00:00:00,England,not out,105,108
292,284,2002-07-06 00:00:00,Sri Lanka,c M S Atapattu b C R D Fernando,19,25
293,285,2002-07-09 00:00:00,England,c †A J Stewart b M J Hoggard,36,29
294,286,2002-07-11 00:00:00,Sri Lanka,c U D U Chandana b W P U J C Vaas,113,102
295,287,2002-07-13 00:00:00,England,b A F Giles,14,19
296,288,2002-09-14 00:00:00,Zimbabwe,c A D R Campbell b D T Hondo,7,16
297,289,2002-09-22 00:00:00,England,not out,9,20
298,290,2002-09-25 00:00:00,South Africa,run out,16,29
300,291,2002-09-30 00:00:00,Sri Lanka,not out,7,22
301,292,2003-01-08 00:00:00,New Zealand,lbw b S E Bond,0,10
302,293,2003-01-11 00:00:00,New Zealand,c †B B McCullum b D R Tuffey,1,13
303,294,2003-01-14 00:00:00,New Zealand,c S P Fleming b D R Tuffey,1,6
304,295,2003-02-12 00:00:00,Netherlands,c †J Smits b T B M de Leede,52,72
305,296,2003-02-15 00:00:00,Australia,lbw b J N Gillespie,36,59
306,297,2003-02-19 00:00:00,Zimbabwe,b G W Flower,81,91
307,298,2003-02-23 00:00:00,Namibia,b R J van Vuuren,152,151
308,299,2003-02-26 00:00:00,England,c P D Collingwood b A Flintoff,50,52
309,300,2003-03-01 00:00:00,Pakistan,c Younis Khan b Shoaib Akhtar,98,75
310,301,2003-03-07 00:00:00,Kenya,c A O Suji b M A Suji,5,12
311,302,2003-03-10 00:00:00,Sri Lanka,c †K C Sangakkara b P A de Silva,97,120
312,303,2003-03-14 00:00:00,New Zealand,c J D P Oram b D R Tuffey,15,16
313,304,2003-03-20 00:00:00,Kenya,c D O Obuya b S O Tikolo,83,101
314,305,2003-03-23 00:00:00,Australia,c & b G D McGrath,4,5
315,306,2003-10-23 00:00:00,New Zealand,not out,48,66
316,307,2003-10-26 00:00:00,Australia,c †A C Gilchrist b N W Bracken,100,119
317,308,2003-11-01 00:00:00,Australia,b M J Clarke,68,76
318,309,2003-11-06 00:00:00,New Zealand,lbw b K D Mills,14,14
319,310,2003-11-12 00:00:00,Australia,b I J Harvey,89,91
320,311,2003-11-15 00:00:00,New Zealand,c J D P Oram b C Z Harris,102,91
321,312,2003-11-18 00:00:00,Australia,b A J Bichel,45,66
322,313,2004-01-09 00:00:00,Australia,c R T Ponting b A Symonds,63,69
323,314,2004-01-14 00:00:00,Zimbabwe,b S M Ervine,44,59
324,315,2004-01-18 00:00:00,Australia,c & b A Symonds,86,95
325,316,2004-02-01 00:00:00,Australia,c M L Hayden b B Lee,5,6
326,317,2004-02-03 00:00:00,Zimbabwe,c †T Taibu b H H Streak,3,8
327,318,2004-02-06 00:00:00,Australia,b B Lee,8,22
328,319,2004-02-08 00:00:00,Australia,c B Lee b J N Gillespie,27,40
329,320,2004-03-13 00:00:00,Pakistan,c NavedulHasan b Shoaib Akhtar,28,35
330,321,2004-03-16 00:00:00,Pakistan,c Abdul Razzaq b Shoaib Malik,141,135
331,322,2004-03-19 00:00:00,Pakistan,c †Moin Khan b Shabbir Ahmed,0,5
332,323,2004-03-21 00:00:00,Pakistan,c †Moin Khan b Shoaib Akhtar,7,13
333,324,2004-03-24 00:00:00,Pakistan,c †Moin Khan b Mohammad Sami,37,48
334,325,2004-07-16 00:00:00,United Arab Emirates,c Fahad Usman b Asim Saeed,18,25
335,326,2004-07-18 00:00:00,Sri Lanka,c W S Jayantha b D N T Zoysa,11,13
336,327,2004-07-21 00:00:00,Bangladesh,not out,82,126
337,328,2004-07-24 00:00:00,Pakistan,c Imran Nazir b Shoaib Malik,78,103
338,329,2004-07-27 00:00:00,Sri Lanka,lbw b D N T Zoysa,18,21
339,330,2004-08-01 00:00:00,Sri Lanka,b T M Dilshan,74,100
340,331,2004-11-13 00:00:00,Pakistan,run out,16,17
341,332,2004-12-23 00:00:00,Bangladesh,c †Khaled Mashud b Nazmul Hossain,19,32
342,333,2004-12-27 00:00:00,Bangladesh,c †Khaled Mashud b Khaled Mahmud,47,42
343,334,2005-04-02 00:00:00,Pakistan,c Mohammad Yousuf b NavedulHasan,4,4
344,335,2005-04-05 00:00:00,Pakistan,run out,2,8
345,336,2005-04-09 00:00:00,Pakistan,c Younis Khan b Mohammad Sami,6,11
346,337,2005-04-12 00:00:00,Pakistan,b Shoaib Malik,123,130
347,338,2005-04-15 00:00:00,Pakistan,c †Kamran Akmal b NavedulHasan,1,10
348,339,2005-04-17 00:00:00,Pakistan,b Iftikhar Anjum,9,15
349,340,2005-10-25 00:00:00,Sri Lanka,c †K C Sangakkara b M F Maharoof,93,96
350,341,2005-10-28 00:00:00,Sri Lanka,not out,67,69
351,342,2005-10-31 00:00:00,Sri Lanka,c †K C Sangakkara b W P U J C Vaas,2,3
352,343,2005-11-03 00:00:00,Sri Lanka,b W P U J C Vaas,11,19
353,344,2005-11-09 00:00:00,Sri Lanka,c M F Maharoof b C R D Fernando,19,30
354,345,2005-11-12 00:00:00,Sri Lanka,c & b D N T Zoysa,39,48
355,346,2005-11-16 00:00:00,South Africa,c †M V Boucher b S M Pollock,2,9
356,347,2005-11-19 00:00:00,South Africa,c sub b S M Pollock,2,22
357,348,2005-11-25 00:00:00,South Africa,c †M V Boucher b S M Pollock,2,15
358,349,2005-11-28 00:00:00,South Africa,c A G Prince b A Nel,30,44
359,350,2006-02-06 00:00:00,Pakistan,lbw b Arshad Khan,100,113
360,351,2006-02-11 00:00:00,Pakistan,c †Kamran Akmal b Abdul Razzaq,42,43
361,352,2006-02-13 00:00:00,Pakistan,c sub b Abdul Razzaq,95,104
362,353,2006-02-16 00:00:00,Pakistan,c †Kamran Akmal b Mohammad Sami,0,3
363,354,2006-08-18 00:00:00,Sri Lanka,not out,2,3
364,355,2006-09-14 00:00:00,West Indies,not out,141,148
365,356,2006-09-16 00:00:00,Australia,c †B J Haddin b M G Johnson,12,17
366,357,2006-09-20 00:00:00,West Indies,run out,65,102
367,358,2006-09-22 00:00:00,Australia,c M E K Hussey b B Lee,4,10
368,359,2006-10-15 00:00:00,England,lbw b S J Harmison,35,41
369,360,2006-10-26 00:00:00,West Indies,b I D R Bradshaw,29,45
370,361,2006-10-29 00:00:00,Australia,c †A C Gilchrist b G D McGrath,10,26
371,362,2006-11-22 00:00:00,South Africa,b A Nel,35,51
372,363,2006-11-26 00:00:00,South Africa,c L L Bosman b S M Pollock,2,9
373,364,2006-11-29 00:00:00,South Africa,c †M V Boucher b S M Pollock,1,3
374,365,2006-12-03 00:00:00,South Africa,c A B de Villiers b J M Kemp,55,97
375,366,2007-01-21 00:00:00,West Indies,lbw b C H Gayle,31,38
376,367,2007-01-24 00:00:00,West Indies,c D S Smith b D B Powell,0,6
377,368,2007-01-27 00:00:00,West Indies,c R S Morton b D J Bravo,60,66
378,369,2007-01-31 00:00:00,West Indies,not out,100,76
380,370,2007-02-11 00:00:00,Sri Lanka,st K C Sangakkara b C M Bandara,54,61
381,371,2007-02-14 00:00:00,Sri Lanka,b K M D N Kulasekara,1,8
382,372,2007-03-17 00:00:00,Bangladesh,c †Mushfiqur Rahim b Abdur Razzak,7,26
